experiment,group,metric,mean,sd,n_seeds
Exp1_OPE,DM,MAE,0.0010574268433698132,0.0001876743197355675,3
Exp1_OPE,DR,MAE,0.0005495312835171397,9.67726908965982e-05,3
Exp1_OPE,IPS,MAE,0.00045503912068096936,0.00011445817863732219,3
Exp1_OPE,SNIPS,MAE,0.0004671038570254089,0.0001302650356818163,3
Exp2_Memory,all_history,MAE,0.0005189071203157789,8.440536915831344e-05,3
Exp2_Memory,decay,MAE,0.0005677263981944702,0.00018820267766239866,3
Exp2_Memory,decay_regime,MAE,0.0005816707106960573,0.00017854758756360515,3
Exp2_Memory,last_126,MAE,0.0014149631945176763,0.0005602109409240787,3
Exp2_Memory,last_252,MAE,0.0009143203532693406,0.0003199503371385467,3
Exp2_Memory,last_60,MAE,0.0015870343498124043,0.00047431579084167947,3
Exp3_RecentEvidence,history_only:m=0,MAE,0.0006327514951709533,0.0002036987541794236,3
Exp3_RecentEvidence,new_policy_rollout:m=5,MAE,0.0006489523046371737,0.00019535493914182134,3
Exp3_RecentEvidence,new_policy_rollout:m=10,MAE,0.0006431057588799047,0.0001893885964131744,3
Exp3_RecentEvidence,new_policy_rollout:m=20,MAE,0.00063878466450845,0.00019680235514203244,3
Exp3_RecentEvidence,new_policy_rollout:m=40,MAE,0.0006380333787044686,0.00020013090885977942,3
Exp3_RecentEvidence,new_policy_rollout:m=80,MAE,0.0006046106834220138,0.00015405474874938689,3
Exp3_RecentEvidence,recent_old_policy:m=5,MAE,0.0006361347540271301,0.00018663468001059346,3
Exp3_RecentEvidence,recent_old_policy:m=10,MAE,0.0006494524305350619,0.00019413583633270102,3
Exp3_RecentEvidence,recent_old_policy:m=20,MAE,0.0006427990628494292,0.00018297150099649,3
Exp3_RecentEvidence,recent_old_policy:m=40,MAE,0.0006073464512924603,0.00013862353338575008,3
Exp3_RecentEvidence,recent_old_policy:m=80,MAE,0.000577637877415122,0.0001866597387295756,3
Exp4_SafeUpdate,all,point_selection_accuracy,0.6274509803921569,0.06792356108113246,3
Exp4_SafeUpdate,all,point_unsafe_rate,0.2579365079365079,0.024781738088882527,3
Exp4_SafeUpdate,all,lcb_ess_selection_accuracy,0.40196078431372545,0.016980890270283114,3
Exp4_SafeUpdate,all,lcb_ess_adoption_rate,0.0392156862745098,0.06792356108113244,3
Exp4_SafeUpdate,all,lcb_ess_unsafe_rate,0.5,,3
